statefips,year,month,number_schools,share_all_closed_50,share_all_closed_25,share_all_closed_75,share_elem_closed_50,share_elem_closed_25,share_elem_closed_75,share_middlehigh_closed_50,share_middlehigh_closed_25,share_middlehigh_closed_75,mean_all_change,mean_elem_change,mean_middlehigh_change,total_students,state_abbrev,state_name
36,2020,1,4476,0.007623319,0.03295964,0.000896861,0.005738332,0.03634277,0.001147666,0.010486578,0.031879194,0.000838926,0.30811265,0.2927146,0.31976262,2587108,NY,NEW YORK
37,2020,1,2552,0.009026688,0.032967035,0.003924647,0.010423453,0.037133552,0.005211726,0.010551948,0.033279222,0.00487013,0.31224459,0.30095643,0.31579253,1548541,NC,NORTH CAROLINA
38,2020,1,463,0.019650655,0.065502182,0.004366812,0.022140222,0.077490777,0.007380074,0.031496063,0.078740157,0.007874016,0.3382006,0.3339262,0.32756823,107207,ND,NORTH DAKOTA
39,2020,1,3354,0.01018269,0.027852651,0.002096436,0.011615628,0.032206971,0.003695882,0.010593221,0.029661017,0.000529661,0.51592064,0.49139085,0.52216977,1686866,OH,OHIO
40,2020,1,1671,0.010271903,0.04712991,0,0.011702128,0.041489363,0,0.011741683,0.057729941,0,0.32132059,0.31407115,0.34203267,674003,OK,OKLAHOMA
41,2020,1,1206,0.013344454,0.036697246,0.004170142,0.01589404,0.038410597,0.00397351,0.015822785,0.042721517,0.007911393,0.34563962,0.35267103,0.32798693,563104,OR,OREGON
42,2020,1,2751,0.010587806,0.026286965,0.001825484,0.011363637,0.028110048,0.002392344,0.008438818,0.022503516,0.00140647,0.4467147,0.41618171,0.45977888,1628142,PA,PENNSYLVANIA
44,2020,1,297,0.006734007,0.033670034,0.003367003,0.010928961,0.032786883,0.005464481,0,0.032520324,0,0.32689142,0.32105941,0.3208386,140318,RI,RHODE ISLAND
45,2020,1,1203,0.011666667,0.025833333,0.005,0.006839945,0.017783858,0.002735978,0.016333938,0.034482758,0.005444646,0.45112941,0.44780284,0.46006089,766050,SC,SOUTH CAROLINA
46,2020,1,585,0.010638298,0.028368793,0.00177305,0.00754717,0.033962265,0,0.013477089,0.032345012,0.002695418,0.47708884,0.4378829,0.48363686,131580,SD,SOUTH DAKOTA
47,2020,1,1744,0.006900518,0.029327199,0.002300173,0.00379867,0.020892687,0.000949668,0.009278351,0.040206186,0.003092784,0.39004007,0.41203094,0.39652824,1003847,TN,TENNESSEE
48,2020,1,8210,0.007825875,0.030569822,0.001345072,0.006839378,0.026113989,0.001865285,0.010545268,0.038837448,0.001028807,0.32718241,0.34306338,0.31177577,5188147,TX,TEXAS
49,2020,1,937,0.010752688,0.041935485,0.001075269,0.011217949,0.043269232,0,0.010152284,0.040609136,0.002538071,0.26275074,0.27882418,0.2330205,638267,UT,UTAH
50,2020,1,288,0.017482517,0.080419578,0.01048951,0.018072288,0.078313254,0.006024096,0.00952381,0.047619049,0,0.31185487,0.30459249,0.40265372,77687,VT,VERMONT
51,2020,1,1876,0.003733333,0.015466667,0.000533333,0.002638523,0.014951627,0.000879507,0.005312085,0.013280213,0,0.36317205,0.35126573,0.39433855,1265813,VA,VIRGINIA
53,2020,1,2129,0.010372465,0.040075436,0.004243282,0.007830854,0.039154269,0.003132341,0.013820335,0.041461006,0.004935834,0.31981277,0.3368358,0.31699726,1069690,WA,WASHINGTON
54,2020,1,645,0.021806853,0.043613706,0.006230529,0.032581452,0.052631579,0.010025063,0.006289308,0.034591194,0,0.47496372,0.43881851,0.53947002,258106,WV,WEST VIRGINIA
55,2020,1,2121,0.007125891,0.01567696,0.001900238,0.007275667,0.016168149,0.001616815,0.006369427,0.01455869,0.002729754,0.50751173,0.51339555,0.49563238,851021,WI,WISCONSIN
56,2020,1,328,0.021875,0.043749999,0.00625,0.021505376,0.048387095,0.005376344,0.023952097,0.041916169,0.011976048,0.42099851,0.41646278,0.4088504,93149,WY,WYOMING
1,2020,2,1383,0.013748191,0.041244574,0.002170767,0.015056462,0.043914679,0.001254705,0.011464968,0.042038217,0.002547771,0.39273825,0.38390997,0.41430637,762955,AL,ALABAMA
