date,country,cases,deaths
7/15/2020,United States,3513790,137327
7/16/2020,United States,3589477,138285
7/17/2020,United States,3660400,139186
7/18/2020,United States,3722851,139961
7/19/2020,United States,3785126,140373
7/20/2020,United States,3845014,140904
7/21/2020,United States,3910291,142031
7/22/2020,United States,3980030,143167
7/23/2020,United States,4050036,144283
7/24/2020,United States,4123561,145429
7/25/2020,United States,4190337,146313
7/26/2020,United States,4244554,146753
7/27/2020,United States,4303735,148449
7/28/2020,United States,4366851,149776
7/29/2020,United States,4433633,151172
7/30/2020,United States,4502581,152433
7/31/2020,United States,4571669,153862
8/1/2020,United States,4628497,154917
8/2/2020,United States,4679291,155337
8/3/2020,United States,4726775,155945
8/4/2020,United States,4780324,157301
8/5/2020,United States,4834047,158554
8/6/2020,United States,4891561,159625
8/7/2020,United States,4952718,160981
8/8/2020,United States,5007958,161947
8/9/2020,United States,5056438,162486
8/10/2020,United States,5103611,163023
8/11/2020,United States,5156968,164474
8/12/2020,United States,5211246,165952
8/13/2020,United States,5265307,167165
8/14/2020,United States,5324784,168341
8/15/2020,United States,5375527,169400
8/16/2020,United States,5417664,169914
8/17/2020,United States,5455187,170449
8/18/2020,United States,5498420,171798
8/19/2020,United States,5541433,173093
8/20/2020,United States,5587462,174136
8/21/2020,United States,5636491,175297
8/22/2020,United States,5681517,176247
8/23/2020,United States,5713850,176693
8/24/2020,United States,5754254,177197
8/25/2020,United States,5793437,178410
8/26/2020,United States,5838756,179603
8/27/2020,United States,5884366,180729
8/28/2020,United States,5930930,181739
8/29/2020,United States,5975540,182610
8/30/2020,United States,6008970,182984
8/31/2020,United States,6045455,183472
9/1/2020,United States,6089504,184563
9/2/2020,United States,6121948,185639
9/3/2020,United States,6168342,186717
9/4/2020,United States,6220446,187697
9/5/2020,United States,6262700,188409
9/6/2020,United States,6292699,188820
9/7/2020,United States,6317865,189083
9/8/2020,United States,6346806,189541
9/9/2020,United States,6380138,190716
9/10/2020,United States,6418198,191631
9/11/2020,United States,6465766,192858
9/12/2020,United States,6504870,193559
9/13/2020,United States,6538213,193958
9/14/2020,United States,6575100,194408
9/15/2020,United States,6614317,195689
9/16/2020,United States,6653585,196686
9/17/2020,United States,6698895,197535
9/18/2020,United States,6747782,198484
9/19/2020,United States,6789593,199154
9/20/2020,United States,6825949,199367
9/21/2020,United States,6880899,199797
9/22/2020,United States,6918290,200738
9/23/2020,United States,6959841,201828
9/24/2020,United States,7005043,202713
9/25/2020,United States,7059624,203566
9/26/2020,United States,7102321,204335
9/27/2020,United States,7139619,204602
9/28/2020,United States,7176979,204952
9/29/2020,United States,7220676,205878
9/30/2020,United States,7262734,206852
10/1/2020,United States,7309152,207699
10/2/2020,United States,7362732,208564
10/3/2020,United States,7410511,209273
10/4/2020,United States,7445574,209606
10/5/2020,United States,7507986,210035
10/6/2020,United States,7550848,210756
10/7/2020,United States,7603865,211752
10/8/2020,United States,7660248,212680
10/9/2020,United States,7719210,213595
10/10/2020,United States,7770858,214187
10/11/2020,United States,7815641,214606
10/12/2020,United States,7863657,214957
10/13/2020,United States,7918051,215783
10/14/2020,United States,7977904,216792
10/15/2020,United States,8043257,217585
10/16/2020,United States,8113720,218476
10/17/2020,United States,8166481,219154
10/18/2020,United States,8214363,219541
10/19/2020,United States,8279803,220058
10/20/2020,United States,8340397,220987
10/21/2020,United States,8404634,222195
10/22/2020,United States,8479762,223023
10/23/2020,United States,8565059,223953
10/24/2020,United States,8643640,224825
10/25/2020,United States,8703355,225164
10/26/2020,United States,8777986,225701
10/27/2020,United States,8852373,226684
10/28/2020,United States,8934258,227702
10/29/2020,United States,9024915,228706
10/30/2020,United States,9124783,229674
10/31/2020,United States,9208993,230512
11/1/2020,United States,9283188,230940
11/2/2020,United States,9377201,231480
11/3/2020,United States,9469617,232610
11/4/2020,United States,9577697,234226
11/5/2020,United States,9699030,235334
11/6/2020,United States,9831853,236582
11/7/2020,United States,9957785,237589
11/8/2020,United States,10061201,238053
11/9/2020,United States,10191642,238798
11/10/2020,United States,10331392,240262
11/11/2020,United States,10474277,241693
11/12/2020,United States,10637917,242865
11/13/2020,United States,10819414,244255
11/14/2020,United States,10978447,245465
11/15/2020,United States,11113634,246088
11/16/2020,United States,11280194,246884
11/17/2020,United States,11441833,248491
11/18/2020,United States,11614116,250415
11/19/2020,United States,11801631,252376
11/20/2020,United States,12000512,254333
11/21/2020,United States,12172457,255758
11/22/2020,United States,12313295,256601
11/23/2020,United States,12493028,257639
11/24/2020,United States,12670931,259848
11/25/2020,United States,12851603,262161
11/26/2020,United States,12954496,263339
11/27/2020,United States,13160382,264751
11/28/2020,United States,13311528,265943
11/29/2020,United States,13447900,266761
11/30/2020,United States,13615739,268031
12/1/2020,United States,13799999,270639
12/2/2020,United States,14001210,273525
12/3/2020,United States,14218973,276381
12/4/2020,United States,14450360,279018
12/5/2020,United States,14656033,281208
12/6/2020,United States,14828141,282319
12/7/2020,United States,15032433,283853
12/8/2020,United States,15252314,286674
12/9/2020,United States,15472050,289830
12/10/2020,United States,15697271,292771
12/11/2020,United States,15977838,295726
12/12/2020,United States,16185267,297981
12/13/2020,United States,16369491,299338
12/14/2020,United States,16570615,301016
12/15/2020,United States,16773586,304041
12/16/2020,United States,17018628,307652
12/17/2020,United States,17257055,310950
12/18/2020,United States,17508278,313820
12/19/2020,United States,17702197,316381
12/20/2020,United States,17882143,317810
12/21/2020,United States,18083756,319773
12/22/2020,United States,18285416,323012
12/23/2020,United States,18513204,326424
12/24/2020,United States,18706752,329248
12/25/2020,United States,18807725,330377
12/26/2020,United States,19024581,332023
12/27/2020,United States,19176674,333253
12/28/2020,United States,19365727,335152
12/29/2020,United States,19566819,338780
12/30/2020,United States,19795855,342588
12/31/2020,United States,20026877,346050
1/1/2021,United States,20174150,347970
1/2/2021,United States,20465532,350343
1/3/2021,United States,20667499,351694
1/4/2021,United States,20919448,353743
1/5/2021,United States,21154475,357432
1/6/2021,United States,21410474,361396
1/7/2021,United States,21690778,365507
1/8/2021,United States,21991447,369402
1/9/2021,United States,22243548,372663
1/10/2021,United States,22451857,374440
1/11/2021,United States,22674872,376488
1/12/2021,United States,22904596,380894
1/13/2021,United States,23133925,384824
1/14/2021,United States,23372534,388804
1/15/2021,United States,23613467,392553
1/16/2021,United States,23815113,395894
1/17/2021,United States,23984665,397624
1/18/2021,United States,24127269,399065
1/19/2021,United States,24312328,401836
1/20/2021,United States,24499353,406216
1/21/2021,United States,24689491,410351
1/22/2021,United States,24881253,414082
1/23/2021,United States,25049188,417404
1/24/2021,United States,25178680,419219
1/25/2021,United States,25334399,421126
1/26/2021,United States,25486052,425223
1/27/2021,United States,25641693,429326
1/28/2021,United States,25806931,433194
1/29/2021,United States,25972603,436794
1/30/2021,United States,26106490,439435
1/31/2021,United States,26219988,441299
2/1/2021,United States,26359848,443249
2/2/2021,United States,26477777,446860
2/3/2021,United States,26597821,450703
2/4/2021,United States,26723655,455820
2/5/2021,United States,26853225,459390
2/6/2021,United States,26958239,462052
2/7/2021,United States,27045558,463353
2/8/2021,United States,27138359,464936
2/9/2021,United States,27234848,468106
2/10/2021,United States,27329758,471360
2/11/2021,United States,27435423,475238
2/12/2021,United States,27534975,480701
2/13/2021,United States,27619754,484073
2/14/2021,United States,27683598,485154
2/15/2021,United States,27738965,486148
2/16/2021,United States,27803366,487855
2/17/2021,United States,27873543,490326
2/18/2021,United States,27945417,492951
2/19/2021,United States,28023446,495572
2/20/2021,United States,28093190,497403
2/21/2021,United States,28148387,498650
2/22/2021,United States,28207843,500104
2/23/2021,United States,28279644,502432
2/24/2021,United States,28353769,505642
2/25/2021,United States,28431572,508107
2/26/2021,United States,28509844,510283
2/27/2021,United States,28572545,511850
2/28/2021,United States,28623470,512979
